old_url,old_path,classification,redirect_status,target,local_target_exists,chain
"https://oztimberfloor.com.au/products/topdeck-lumiere-highland-beige-oak/","/products/topdeck-lumiere-highland-beige-oak/","close topical match","301","/products/lumiere-ultra-hd-highland-beige-oak/","true","/products/topdeck-lumiere-highland-beige-oak/ > /products/lumiere-ultra-hd-highland-beige-oak/"
"https://oztimberfloor.com.au/products/topdeck-lumiere-lake-view-oak/","/products/topdeck-lumiere-lake-view-oak/","close topical match","301","/products/lumiere-ultra-hd-lake-view-oak/","true","/products/topdeck-lumiere-lake-view-oak/ > /products/lumiere-ultra-hd-lake-view-oak/"
"https://oztimberfloor.com.au/products/topdeck-lumiere-lovanna-oak/","/products/topdeck-lumiere-lovanna-oak/","close topical match","301","/products/lumiere-ultra-hd-lovanna-oak/","true","/products/topdeck-lumiere-lovanna-oak/ > /products/lumiere-ultra-hd-lovanna-oak/"
"https://oztimberfloor.com.au/products/topdeck-lumiere-manor-ridge-oak/","/products/topdeck-lumiere-manor-ridge-oak/","close topical match","301","/products/lumiere-ultra-hd-manor-ridge-oak/","true","/products/topdeck-lumiere-manor-ridge-oak/ > /products/lumiere-ultra-hd-manor-ridge-oak/"
"https://oztimberfloor.com.au/products/topdeck-lumiere-sherwood-oak/","/products/topdeck-lumiere-sherwood-oak/","close topical match","301","/products/lumiere-ultra-hd-sherwood-oak/","true","/products/topdeck-lumiere-sherwood-oak/ > /products/lumiere-ultra-hd-sherwood-oak/"
"https://oztimberfloor.com.au/products/topdeck-lumiere-south-grove-oak/","/products/topdeck-lumiere-south-grove-oak/","close topical match","301","/products/lumiere-ultra-hd-south-grove-oak/","true","/products/topdeck-lumiere-south-grove-oak/ > /products/lumiere-ultra-hd-south-grove-oak/"
"https://oztimberfloor.com.au/products/topdeck-lumiere-spotted-gum/","/products/topdeck-lumiere-spotted-gum/","close topical match","301","/products/lumiere-ultra-hd-spotted-gum/","true","/products/topdeck-lumiere-spotted-gum/ > /products/lumiere-ultra-hd-spotted-gum/"
"https://oztimberfloor.com.au/products/topdeck-lumiere-weathered-grey-oak/","/products/topdeck-lumiere-weathered-grey-oak/","close topical match","301","/products/lumiere-ultra-hd-weathered-grey-oak/","true","/products/topdeck-lumiere-weathered-grey-oak/ > /products/lumiere-ultra-hd-weathered-grey-oak/"
"https://oztimberfloor.com.au/products/topdeck-lumiere-winchester-oak/","/products/topdeck-lumiere-winchester-oak/","close topical match","301","/products/lumiere-ultra-hd-winchester-oak/","true","/products/topdeck-lumiere-winchester-oak/ > /products/lumiere-ultra-hd-winchester-oak/"
"https://oztimberfloor.com.au/products/topdeck-luxury-grey-oak/","/products/topdeck-luxury-grey-oak/","close topical match","301","/products/prime-luxury-grey-oak/","true","/products/topdeck-luxury-grey-oak/ > /products/prime-luxury-grey-oak/"
"https://oztimberfloor.com.au/products/topdeck-luxury-latte-oak/","/products/topdeck-luxury-latte-oak/","close topical match","301","/products/prime-luxury-latte-oak/","true","/products/topdeck-luxury-latte-oak/ > /products/prime-luxury-latte-oak/"
"https://oztimberfloor.com.au/products/topdeck-luxury-lunar-oak/","/products/topdeck-luxury-lunar-oak/","close topical match","301","/products/prime-luxury-lunar-oak/","true","/products/topdeck-luxury-lunar-oak/ > /products/prime-luxury-lunar-oak/"
"https://oztimberfloor.com.au/products/topdeck-luxury-natural-oak/","/products/topdeck-luxury-natural-oak/","close topical match","301","/products/prime-luxury-natural-oak/","true","/products/topdeck-luxury-natural-oak/ > /products/prime-luxury-natural-oak/"
"https://oztimberfloor.com.au/products/topdeck-luxury-new-england-blackbutt/","/products/topdeck-luxury-new-england-blackbutt/","close topical match","301","/products/prime-luxury-new-england-blackbutt/","true","/products/topdeck-luxury-new-england-blackbutt/ > /products/prime-luxury-new-england-blackbutt/"
"https://oztimberfloor.com.au/products/topdeck-luxury-qld-spotted-gum/","/products/topdeck-luxury-qld-spotted-gum/","close topical match","301","/products/prime-luxury-queensland-spotted-gum/","true","/products/topdeck-luxury-qld-spotted-gum/ > /products/prime-luxury-queensland-spotted-gum/"
"https://oztimberfloor.com.au/products/topdeck-luxury-smoke-oak/","/products/topdeck-luxury-smoke-oak/","close topical match","301","/products/prime-luxury-smoke-oak/","true","/products/topdeck-luxury-smoke-oak/ > /products/prime-luxury-smoke-oak/"
"https://oztimberfloor.com.au/products/topdeck-luxury-stone-oak/","/products/topdeck-luxury-stone-oak/","close topical match","301","/products/prime-luxury-stone-oak/","true","/products/topdeck-luxury-stone-oak/ > /products/prime-luxury-stone-oak/"
"https://oztimberfloor.com.au/products/topdeck-luxury-tobacco-oak/","/products/topdeck-luxury-tobacco-oak/","close topical match","301","/products/prime-luxury-tobacco-oak/","true","/products/topdeck-luxury-tobacco-oak/ > /products/prime-luxury-tobacco-oak/"
"https://oztimberfloor.com.au/products/topdeck-luxury-vanilla-oak/","/products/topdeck-luxury-vanilla-oak/","close topical match","301","/products/prime-luxury-vanilla-oak/","true","/products/topdeck-luxury-vanilla-oak/ > /products/prime-luxury-vanilla-oak/"
"https://oztimberfloor.com.au/products/topdeck-monica-grey/","/products/topdeck-monica-grey/","close topical match","301","/products/cavallo-bianco-monica-grey/","true","/products/topdeck-monica-grey/ > /products/cavallo-bianco-monica-grey/"
"https://oztimberfloor.com.au/products/topdeck-neutral-oak/","/products/topdeck-neutral-oak/","close topical match","301","/products/pantora-lifestyle-neutral-oak/","true","/products/topdeck-neutral-oak/ > /products/pantora-lifestyle-neutral-oak/"
"https://oztimberfloor.com.au/products/topdeck-oyster-bay/","/products/topdeck-oyster-bay/","close topical match","301","/products/cavallo-bianco-oyster-bay/","true","/products/topdeck-oyster-bay/ > /products/cavallo-bianco-oyster-bay/"
"https://oztimberfloor.com.au/products/topdeck-pacific-blackbutt-ab/","/products/topdeck-pacific-blackbutt-ab/","close topical match","301","/products/wooden-land-foreign-species-pacific-blackbutt/","true","/products/topdeck-pacific-blackbutt-ab/ > /products/wooden-land-foreign-species-pacific-blackbutt/"
"https://oztimberfloor.com.au/products/topdeck-pacific-spotted-gum-ab/","/products/topdeck-pacific-spotted-gum-ab/","close topical match","301","/products/wooden-land-foreign-species-pacific-spotted-gum/","true","/products/topdeck-pacific-spotted-gum-ab/ > /products/wooden-land-foreign-species-pacific-spotted-gum/"
"https://oztimberfloor.com.au/products/topdeck-panania-oak-1/","/products/topdeck-panania-oak-1/","close topical match","301","/products/castel-nuovo-panania-oak/","true","/products/topdeck-panania-oak-1/ > /products/castel-nuovo-panania-oak/"
"https://oztimberfloor.com.au/products/topdeck-panania-oak/","/products/topdeck-panania-oak/","close topical match","301","/products/cavallo-bianco-panania-oak/","true","/products/topdeck-panania-oak/ > /products/cavallo-bianco-panania-oak/"
